Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
7156,4054.00000000000,North Pacific Lowland Riparian Forest,7156,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,Tree,Riparian,632,Red Alder Forest and Woodland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
7157,84.00000000000,North Pacific Lowland Riparian Shrubland,7156,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,Shrub,Riparian,632,Red Alder Forest and Woodland,SAF 222: Black Cottonwood-Willow,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,67,162,181,0.26274500000,0.63529400000,0.70980400000
7158,435.00000000000,North Pacific Montane Riparian Woodland,7158,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
7159,32.00000000000,North Pacific Montane Riparian Shrubland,7158,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SAF 222: Black Cottonwood-Willow,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,67,162,181,0.26274500000,0.63529400000,0.70980400000
7161,1.00000000000,Northern Rocky Mountain Conifer Swamp,7161,2161,Tr Northern Rocky Mountain Conifer Swamp,Tree,Riparian,639,Spruce-Fir Forest and Woodland,SAF 227: Western Redcedar-Western Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,4,45,117,0.01568600000,0.17647100000,0.45882400000
7165,231.00000000000,Northern Rocky Mountain Foothill Conifer Wooded Steppe,7165,2165,Tr Northern Rocky Mountain Foothill Conifer Wooded Steppe,Tree,Conifer,614,Douglas-fir Forest and Woodland,SRM 109: Ponderosa Pine-Shrubland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,55,146,173,0.21568600000,0.57254900000,0.67843100000
7168,10.00000000000,Northern Rocky Mountain Avalanche Chute Shrubland,7168,2168,Sh Northern Rocky Mountain Avalanche Chute Shrubland,Shrub,Shrubland,612,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland,128,97,69,0.50196100000,0.38039200000,0.27058800000
7169,309.00000000000,Northern Rocky Mountain Subalpine Deciduous Shrubland,7169,2169,Sh Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrub,Shrubland,612,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland,128,97,69,0.50196100000,0.38039200000,0.27058800000
7171,1297.00000000000,North Pacific Alpine and Subalpine Dry Grassland,7171,2171,He North Pacific Alpine and Subalpine Dry Grassland,Herb,Grassland,617,Grassland,SRM 103: Green Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,114,48,1.00000000000,0.44705900000,0.18823500000
7173,68.00000000000,North Pacific Wooded Volcanic Flowage,7173,2173,Tr North Pacific Wooded Volcanic Flowage,Tree,Conifer,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,163,240,219,0.63921600000,0.94117600000,0.85882400000
7174,5654.00000000000,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,7174,2174,Tr North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Tree,Conifer,642,Western Hemlock-Silver Fir Forest,SAF 226: Coastal True Fir-Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,71,0,0.00000000000,0.27843100000,0.00000000000
7178,2335.00000000000,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,7178,2178,Tr North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Tree,Conifer,645,Western Red-cedar-Western Hemlock Forest,SAF 227: Western Redcedar-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,4,45,117,0.01568600000,0.17647100000,0.45882400000
7250,24.00000000000,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,7062,2062,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrub,Shrubland,628,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,155,235,216,0.60784300000,0.92156900000,0.84705900000
