Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
7961,587.00000000000,Western Cool Temperate Vineyard,7961,2961,Da Vineyard,Agriculture,Agricultural,61,Agricultural-Vineyard,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,168,0,132,0.65882400000,0.00000000000,0.51764700000
7962,186.00000000000,Western Cool Temperate Bush fruit and berries,7962,2962,Dab Bush Fruit and Berries,Shrub,Agricultural,62,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,210,28,119,0.82352900000,0.10980400000,0.46666700000
7963,1198.00000000000,Western Cool Temperate Row Crop - Close Grown Crop,7963,2963,Da Row Crop - Close Grown Crop,Agriculture,Agricultural,63,Agricultural-Row Crop-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,245,140,1.00000000000,0.96078400000,0.54902000000
7964,5069.00000000000,Western Cool Temperate Row Crop,7964,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.98039200000,1.00000000000,0.46666700000
7965,2164.00000000000,Western Cool Temperate Close Grown Crop,7965,2965,Da Close Grown Crop,Agriculture,Agricultural,65,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,237,119,1.00000000000,0.92941200000,0.46666700000
7966,6842.00000000000,Western Cool Temperate Fallow/Idle Cropland,7966,2966,Dab Fallow/Idle Cropland,Herb,Agricultural,66,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,255,119,1.00000000000,1.00000000000,0.46666700000
7967,4143.00000000000,Western Cool Temperate Pasture and Hayland,7967,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.89019600000,0.83137300000,0.10980400000
7968,11719.00000000000,Western Cool Temperate Wheat,7968,2968,Da Wheat,Agriculture,Agricultural,68,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,227,163,0.98039200000,0.89019600000,0.63921600000
9002,463.00000000000,Columbia Basin Foothill Riparian Woodland,9002,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9004,42.00000000000,Inter-Mountain Basins Active and Stabilized Dune,9004,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9005,319.00000000000,Inter-Mountain Basins Alkaline Closed Depression,9005,2224,He Inter-Mountain Basins Alkaline Closed Depression,Herb,Riparian,650,Depressional Wetland,LF 56: Western Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,250,100,56,0.98039200000,0.39215700000,0.21960800000
9006,796.00000000000,Inter-Mountain Basins Cliff and Canyon,9006,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9011,232.00000000000,North American Arid West Emergent Marsh,9011,2225,He North American Arid West Emergent Marsh,Herb,Riparian,765,Freshwater Marsh,LF 56: Western Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,250,100,56,0.98039200000,0.39215700000,0.21960800000
9012,609.00000000000,Northern Rocky Mountain Lower Montane Riparian Woodland,9012,2159,Tr Rocky Mountain Montane Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.28627500000,0.67058800000,0.72941200000
9016,6.00000000000,Rocky Mountain Alpine Bedrock and Scree,9016,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9017,37.00000000000,Rocky Mountain Alpine-Montane Wet Meadow,9017,2176,He Rocky Mountain Alpine-Montane Wet Meadow,Herb,Riparian,669,Western Herbaceous Wetland,SRM 422: Riparian,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,184,96,24,0.72156900000,0.37647100000,0.09411800000
9018,201.00000000000,Rocky Mountain Cliff Canyon and Massive Bedrock,9018,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9021,10.00000000000,Rocky Mountain Subalpine-Montane Riparian Shrubland,9021,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184,96,24,0.72156900000,0.37647100000,0.09411800000
9022,102.00000000000,Rocky Mountain Subalpine-Montane Riparian Woodland,9022,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,184,96,24,0.72156900000,0.37647100000,0.09411800000
9160,52.00000000000,North Pacific Active Volcanic Rock and Cinder Land,9160,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9165,115.00000000000,North Pacific Hardwood-Conifer Swamp,9165,2157,Tr North Pacific Swamp Systems,Tree,Riparian,645,Western Red-cedar-Western Hemlock Forest,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.26274500000,0.63529400000,0.70980400000
9166,4.00000000000,North Pacific Herbaceous Bald and Bluff,9166,2233,He North Pacific Herbaceous Bald and Bluff,Herb,Grassland,688,Prairies and Barrens,LF 60: North Pacific Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.32156900000,0.20392200000,0.13333300000
9167,7.00000000000,North Pacific Hypermaritime Herbaceous Headland,9167,2234,Sh North Pacific Hypermaritime Shrub and Herbaceous Headland,Herb,Grassland,609,Pacific Coastal Scrub,SRM 204: Northern Coastal Shrub,Herbaceous / Nonvascular-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,201,116,30,0.78823500000,0.45490200000,0.11764700000
9170,1199.00000000000,North Pacific Lowland Mixed Hardwood-Conifer Forest,9170,2235,Tr North Pacific Lowland Mixed Hardwood-Conifer Forest,Tree,Conifer-Hardwood,610,Conifer-Oak Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,130,0,0.00000000000,0.50980400000,0.00000000000
9171,74.00000000000,North Pacific Maritime Coastal Sand Dune and Strand,9171,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.39215700000,0.39215700000,0.39215700000
9272,45.00000000000,Temperate Pacific Subalpine-Montane Wet Meadow,9272,2236,He Temperate Pacific Subalpine-Montane Wet Meadow,Herb,Riparian,675,Inland Marshes and Prairies,SRM 217: Wetlands,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,127,59,1.00000000000,0.49803900000,0.23137300000
9307,205.00000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,9307,2272,He Great Basin & Intermountain Introduced Annual and Biennial Forbland,Herb,Exotic Herbaceous,704,Introduced Annual and Biennial Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1.00000000000,0.41176500000,0.18039200000
9308,2233.00000000000,Great Basin & Intermountain Introduced Annual Grassland,9308,2273,He Great Basin & Intermountain Introduced Annual Grassland,Herb,Exotic Herbaceous,702,Introduced Annual Grassland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1.00000000000,0.41176500000,0.18039200000
9309,1323.00000000000,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,9309,2274,He Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9311,1.00000000000,North Pacific Maritime Coastal Sand Dune Ruderal Scrub,9311,2276,Sh North Pacific Maritime Coastal Sand Dune Ruderal Scrub & Herb Vegetation,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9326,758.00000000000,Southern Vancouverian Lowland Ruderal Shrubland,9326,2277,Sh Southern Vancouverian Lowland Ruderal Grassland & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9327,55.00000000000,Interior West Ruderal Riparian Forest,9327,2278,Tr Interior West Ruderal Riparian Forest & Scrub,Tree,Riparian,701,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1.00000000000,0.41176500000,0.18039200000
9328,1539.00000000000,Interior Western North American Temperate Ruderal Shrubland,9328,2279,Sh Interior Western North American Temperate Ruderal Grassland & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9329,439.00000000000,Western North American Ruderal Wet Shrubland,9329,2280,Sh Western North American Ruderal Wet Shrubland Meadow & Marsh,Shrub,Riparian,708,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9336,902.00000000000,Great Basin & Intermountain Ruderal Shrubland,9336,2282,Sh Great Basin & Intermountain Ruderal Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9502,90.00000000000,Columbia Basin Foothill Riparian Shrubland,9002,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,73,171,186,0.28627500000,0.67058800000,0.72941200000
9504,192.00000000000,Columbia Basin Foothill Riparian Herbaceous,9002,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Herb,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,73,171,186,0.28627500000,0.67058800000,0.72941200000
9512,19.00000000000,Northern Rocky Mountain Lower Montane Riparian Shrubland,9012,2159,Tr Rocky Mountain Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,73,171,186,0.28627500000,0.67058800000,0.72941200000
9667,1.00000000000,North Pacific Hypermaritime Shrub Headland,9167,2234,Sh North Pacific Hypermaritime Shrub and Herbaceous Headland,Shrub,Shrubland,609,Pacific Coastal Scrub,SRM 204: Northern Coastal Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,201,116,30,0.78823500000,0.45490200000,0.11764700000
9811,7.00000000000,North Pacific Maritime Coastal Sand Dune Ruderal Herb Vegetation,9311,2276,Sh North Pacific Maritime Coastal Sand Dune Ruderal Scrub & Herb Vegetation,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9826,2063.00000000000,Southern Vancouverian Lowland Ruderal Grassland,9326,2277,Sh Southern Vancouverian Lowland Ruderal Grassland & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9828,4862.00000000000,Interior Western North American Temperate Ruderal Grassland,9328,2279,Sh Interior Western North American Temperate Ruderal Grassland & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.00000000000,0.41176500000,0.18039200000
9829,328.00000000000,Western North American Ruderal Wet Meadow & Marsh,9329,2280,Sh Western North American Ruderal Wet Shrubland Meadow & Marsh,Herb,Riparian,709,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.00000000000,0.41176500000,0.18039200000
