id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,sqft_est,energy_mwh_yr_mid,water_gal_yr_mid
205724881,Washington,WA,53,King County,33,,,Intergate Seattle East Building 2,107319.0,-122.29056964991396,47.49503090192437,building,107319.0,112813.7328,53644012.958234884
205724885,Washington,WA,53,King County,33,Sabey,,Intergate Seattle East Building 1,97862.0,-122.28819434180774,47.49485963017309,building,97862.0,102872.5344,48916877.68353025
221201212,Washington,WA,53,King County,33,Comcast,,,8025.0,-122.31731718771368,47.69332367380439,building,8025.0,8435.88,4011341.9244480003
223783259,Washington,WA,53,King County,33,,,CTI Biopharma,20600.0,-122.35669303335187,47.6177878057982,building,20600.0,21654.72,10297027.245312002
223928497,Washington,WA,53,King County,33,Digital Realty,SEA10,Westin Building,13117.0,-122.3388642251616,47.61435537680634,building,13117.0,13788.5904,6556607.10566784
231664575,Washington,WA,53,King County,33,H5 Data Centers,,The Seattle Times,48589.0,-122.33646162358502,47.61898482839781,building,48589.0,51076.7568,24287488.195265286
283051469,Washington,WA,53,Grant County,25,,,,151976.0,-119.81322935255956,47.24621227884292,building,151976.0,159757.1712,75966068.57444353
283051470,Washington,WA,53,Grant County,25,,,,133363.0,-119.81318678101924,47.24765247479226,building,133363.0,140191.1856,66662254.58818176
283051471,Washington,WA,53,Grant County,25,,,,135310.0,-119.81575602489733,47.24616793078344,building,135310.0,142237.872,67635473.61957121
283051472,Washington,WA,53,Grant County,25,Sabey Data Centers,,Intergate Quincy Data Center,4318512.0,-119.81593119578888,47.24532712863972,campus,4318512.0,4539619.8144,2158632802.0974183
283051474,Washington,WA,53,Grant County,25,Intuit,,H5 Data Center,2700606.0,-119.8187531190913,47.25141148987496,campus,2700606.0,2838877.0272,1349913279.6530612
283051475,Washington,WA,53,Grant County,25,,,,246778.0,-119.81966487505578,47.2525738060569,building,246778.0,259413.0336,123353387.84192257
283051477,Washington,WA,53,Grant County,25,Yahoo,,Yahoo Data Center,2171290.0,-119.82778184700376,47.24698453090597,campus,2171290.0,2282460.048,1085331664.440461
283051478,Washington,WA,53,Grant County,25,,,,151213.0,-119.82886591661293,47.24673555311077,building,151213.0,158955.1056,75584678.68181378
